sample_name	library_name	pool_name	ploidy	file_name_r1	file_name_r2	adaptor_1	adaptor_2	ref	rgid	rglb	rgpl	rgpu	rgsm
SRR1034270			2	SRR1034270_1.fastq.gz	SRR1034270_2.fastq.gz				Mtruncatula_HM234_SRR1034270		ILLUMINA		Mtruncatula_HM234
SRR1034269			2	SRR1034269_1.fastq.gz	SRR1034269_2.fastq.gz				Mtruncatula_HM233_SRR1034269		ILLUMINA		Mtruncatula_HM233
SRR1034268			2	SRR1034268_1.fastq.gz	SRR1034268_2.fastq.gz				Mtruncatula_HM232_SRR1034268		ILLUMINA		Mtruncatula_HM232
SRR1034267			2	SRR1034267_1.fastq.gz	SRR1034267_2.fastq.gz				Mtruncatula_HM231_SRR1034267		ILLUMINA		Mtruncatula_HM231
SRR1034266			2	SRR1034266_1.fastq.gz	SRR1034266_2.fastq.gz				Mtruncatula_HM230_SRR1034266		ILLUMINA		Mtruncatula_HM230
SRR1034265			2	SRR1034265_1.fastq.gz	SRR1034265_2.fastq.gz				Mtruncatula_HM229_SRR1034265		ILLUMINA		Mtruncatula_HM229
SRR1034264			2	SRR1034264_1.fastq.gz	SRR1034264_2.fastq.gz				Mtruncatula_HM228_SRR1034264		ILLUMINA		Mtruncatula_HM228
SRR1034263			2	SRR1034263_1.fastq.gz	SRR1034263_2.fastq.gz				Mtruncatula_HM227_SRR1034263		ILLUMINA		Mtruncatula_HM227
SRR1034262			2	SRR1034262_1.fastq.gz	SRR1034262_2.fastq.gz				Mtruncatula_HM226_SRR1034262		ILLUMINA		Mtruncatula_HM226
SRR1034261			2	SRR1034261_1.fastq.gz	SRR1034261_2.fastq.gz				Mtruncatula_HM224_SRR1034261		ILLUMINA		Mtruncatula_HM224
SRR1034260			2	SRR1034260_1.fastq.gz	SRR1034260_2.fastq.gz				Mtruncatula_HM223_SRR1034260		ILLUMINA		Mtruncatula_HM223
SRR1034259			2	SRR1034259_1.fastq.gz	SRR1034259_2.fastq.gz				Mtruncatula_HM235_SRR1034259		ILLUMINA		Mtruncatula_HM235
SRR1034258			2	SRR1034258_1.fastq.gz	SRR1034258_2.fastq.gz				Mtruncatula_HM222_SRR1034258		ILLUMINA		Mtruncatula_HM222
SRR1034257			2	SRR1034257_1.fastq.gz	SRR1034257_2.fastq.gz				Mtruncatula_HM221_SRR1034257		ILLUMINA		Mtruncatula_HM221
SRR1034256			2	SRR1034256_1.fastq.gz	SRR1034256_2.fastq.gz				Mtruncatula_HM220_SRR1034256		ILLUMINA		Mtruncatula_HM220
SRR1034255			2	SRR1034255_1.fastq.gz	SRR1034255_2.fastq.gz				Mtruncatula_HM025_SRR1034255		ILLUMINA		Mtruncatula_HM025
SRR1034254			2	SRR1034254_1.fastq.gz	SRR1034254_2.fastq.gz				Mtruncatula_HM024_SRR1034254		ILLUMINA		Mtruncatula_HM024
SRR1034253			2	SRR1034253_1.fastq.gz	SRR1034253_2.fastq.gz				Mtruncatula_HM219_SRR1034253		ILLUMINA		Mtruncatula_HM219
SRR1034252			2	SRR1034252_1.fastq.gz	SRR1034252_2.fastq.gz				Mtruncatula_HM218_SRR1034252		ILLUMINA		Mtruncatula_HM218
SRR1034251			2	SRR1034251_1.fastq.gz	SRR1034251_2.fastq.gz				Mtruncatula_HM217_SRR1034251		ILLUMINA		Mtruncatula_HM217
