"Supporting Information Table S1 Sampling origins and associated climate variables for genotypes used in this study. Transect and population-within-transect are also given. Also indicated are the samples included in the regression of mean annual temperature on height for comparison with altitudinal transects (Fig. 1c), as well as the samples excluded to assess the effects of possible P. balsamifera introgression on bayescan results. Climate variable abbreviations: MAT, mean annual temperature; MWMT, mean warmest month temperature; MCMT, mean coldest month temperature; TD, temperature differential; MAP, mean annual precipitation; MSP, mean summer precipitation; AHM, annual heat moisture index; SHM, summer heat moisture index; Eref, Hargrave's reference evapotranspiration.",,,,,,,,,,,,,,,,
ID,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,Eref,Population,Transect,Included in regression of height/MAT for latitudinal transect?,Excluded for testing effects of P. balsamifera introgression?
EL00,50.25,-123.583333,305,5.9,15.7,-3.4,19,1851,355,8.6,44.1,619,MESMSWELLI,Latitude,No,No
SW07,50.25,-123.933333,244,6.7,15.8,-1.7,17.5,2619,577,6.4,27.4,617,MESMSWELLI,Latitude,No,No
SW00,50.217,-123.983333,61,8.2,17.2,0.2,16.9,2578,565,7,30.4,645,MESMSWELLI,Latitude,No,No
SW02,50.217,-123.95,231,8.4,17.4,0.4,16.9,2914,646,6.3,26.9,657,MESMSWELLI,Latitude,No,No
ME01,50.217,-125.8,30,8.7,16.4,1.7,14.6,1727,347,10.8,47.2,635,MESMSWELLI,Latitude,No,No
SM00,50.217,-125.816667,30,9.1,16.8,2.2,14.6,1813,362,10.5,46.3,640,MESMSWELLI,Latitude,No,No
WH19,50.15026,-122.96163,638,5.6,15,-3.4,18.3,1454,302,10.7,49.6,616,WH,Highway_99,No,No
WH17,50.14977,-122.96293,664,5.5,14.9,-3.5,18.3,1460,303,10.6,49,614,WH,Highway_99,No,No
WH18,50.14977,-122.96384,666,5.5,14.9,-3.4,18.3,1467,304,10.6,48.8,614,WH,Highway_99,No,No
WH16,50.14975,-122.96452,655,5.6,14.9,-3.4,18.3,1471,305,10.6,48.8,615,WH,Highway_99,No,No
WH15,50.14972,-122.96493,650,5.6,14.9,-3.4,18.3,1474,305,10.6,48.8,615,WH,Highway_99,No,No
WH14,50.1495,-122.9628,642,5.6,14.9,-3.4,18.3,1458,303,10.7,49.3,615,WH,Highway_99,No,No
WH13,50.14901,-122.96236,642,5.6,14.9,-3.4,18.3,1452,302,10.7,49.4,615,WH,Highway_99,No,No
WH12,50.14463,-122.95959,640,5.4,14.8,-3.5,18.3,1409,298,10.9,49.7,610,WH,Highway_99,No,No
