pop	V1	lat	long
Sp.495	Sp.495A4	53.13	-124.53
Sp.496	Sp.496A7	51.5	-117.25
Sp.496	Sp.496A9	51.5	-117.25
Sp.497	Sp.497A5	49.81	-114.86
Sp.497	Sp.497A7	49.81	-114.86
Sp.497	Sp.497A6	49.81	-114.86
Sp.498	Sp.498A8	50.13	-122.95
Sp.498	Sp.498A7	50.13	-122.95
Sp.498	Sp.498A5	50.13	-122.95
Sp.499	Sp.499A4	53.9	-126.03
Sp.499	Sp.499A3	53.9	-126.03
Sp.500	Sp.500A6	51.01	-118.21
Sp.500	Sp.500A7	51.01	-118.21
Sp.500	Sp.500A5	51.01	-118.21
Sp.501	Sp.501A4	50.75	-117.91
Sp.501	Sp.501A3	50.75	-117.91
Sp.502	Sp.502A5	51.23	-119.65
Sp.502	Sp.502A6	51.23	-119.65
Sp.502	Sp.502A7	51.23	-119.65
Sp.503	Sp.503A3	56.21	-122
Sp.503	Sp.503A4	56.21	-122
Sp.504	Sp.504A5	49.01	-115.55
Sp.504	Sp.504A8	49.01	-115.55
Sp.504	Sp.504A7	49.01	-115.55
Sp.505	Sp.505A5	50.26	-118.13
Sp.505	Sp.505A7	50.26	-118.13
Sp.505	Sp.505A8	50.26	-118.13
Sp.506	Sp.506A7	50.41	-117.68
Sp.506	Sp.506A8	50.41	-117.68
Sp.507	Sp.507A4	49.43	-120.81
Sp.507	Sp.507A3	49.43	-120.81
Sp.508	Sp.508A4	54.33	-126.16
Sp.508	Sp.508A3	54.33	-126.16
Sp.509	Sp.509A3	54	-126
Sp.509	Sp.509A4	54	-126
Sp.510	Sp.510A3	58.41	-122.91
Sp.510	Sp.510A4	58.41	-122.91
Sp.511	Sp.511A4	53.75	-121.61
Sp.512	Sp.512A3	50.16	-117.58
Sp.512	Sp.512A4	50.16	-117.58
Sp.513	Sp.513A6	51.03	-118.35
Sp.513	Sp.513A8	51.03	-118.35
Sp.513	Sp.513A5	51.03	-118.35
Sp.514	Sp.514A4	54.2	-122.01
Sp.514	Sp.514A3	54.2	-122.01
Sp.515	Sp.515A5	55.4	-125.76
Sp.515	Sp.515A8	55.4	-125.76
Sp.515	Sp.515A7	55.4	-125.76
Sp.516	Sp.516A4	53.91	-122.28
Sp.516	Sp.516A3	53.91	-122.28
Sp.517	Sp.517A3	54.3	-122
Sp.517	Sp.517A4	54.3	-122
Sp.518	Sp.518A3	54.26	-122.85
Sp.518	Sp.518A4	54.26	-122.85
Sp.519	Sp.519A3	54.78	-122.51
Sp.519	Sp.519A4	54.78	-122.51
Sp.520	Sp.520A3	54.33	-121.48
Sp.520	Sp.520A4	54.33	-121.48
Sp.521	Sp.521A6	55.55	-125.96
Sp.521	Sp.521A5	55.55	-125.96
Sp.522	Sp.522A8	53.01	-123.18
Sp.522	Sp.522A6	53.01	-123.18
Sp.522	Sp.522A7	53.01	-123.18
Sp.523	Sp.523A3	52.96	-122.75
Sp.523	Sp.523A4	52.96	-122.75
Sp.524	Sp.524A5	53.15	-122.6
Sp.524	Sp.524A7	53.15	-122.6
Sp.524	Sp.524A8	53.15	-122.6
Sp.525	Sp.525A3	52.85	-122.1
Sp.525	Sp.525A4	52.85	-122.1
Sp.526	Sp.526A4	52.65	-124.23
Sp.526	Sp.526A3	52.65	-124.23
Sp.527	Sp.527A8	49.75	-119
Sp.527	Sp.527A6	49.75	-119
Sp.528	Sp.528A9	52.56	-118.88
Sp.528	Sp.528A8	52.56	-118.88
Sp.529	Sp.529A7	56.36	-123.11
Sp.529	Sp.529A8	56.36	-123.11
Sp.530	Sp.530A3	57.23	-125.51
Sp.530	Sp.530A4	57.23	-125.51
Sp.531	Sp.531A3	54.56	-123.65
Sp.531	Sp.531A4	54.56	-123.65
Sp.532	Sp.532A3	55.05	-124.81
Sp.532	Sp.532A4	55.05	-124.81
Sp.533	Sp.533A3	55.1	-125.4
Sp.533	Sp.533A4	55.1	-125.4
Sp.534	Sp.534A3	55.16	-120.96
Sp.534	Sp.534A4	55.16	-120.96
Sp.535	Sp.535A3	54.13	-126.5
Sp.535	Sp.535A4	54.13	-126.5
Sp.536	Sp.536A3	54.66	-126.66
Sp.536	Sp.536A4	54.66	-126.66
Sp.537	Sp.537A6	56.35	-125.4
Sp.537	Sp.537A8	56.35	-125.4
Sp.538	Sp.538A3	53.5	-122.16
Sp.538	Sp.538A4	53.5	-122.16
Sp.539	Sp.539A6	53.58	-123.01
Sp.539	Sp.539A7	53.58	-123.01
Sp.540	Sp.540A3	53.36	-123.43
Sp.540	Sp.540A4	53.36	-123.43
Sp.541	Sp.541A3	53.66	-122.38
Sp.542	Sp.542A3	55.5	-126.58
Sp.542	Sp.542A4	55.5	-126.58
Sp.543	Sp.543A5	55.68	-124.35
Sp.543	Sp.543A6	55.68	-124.35
Sp.543	Sp.543A7	55.68	-124.35
Sp.544	Sp.544A3	59.21	-123.45
Sp.544	Sp.544A4	59.21	-123.45
Sp.545	Sp.545A3	59.85	-123.85
Sp.545	Sp.545A4	59.85	-123.85
Sp.546	Sp.546A3	55.51	-122.2
Sp.546	Sp.546A4	55.51	-122.2
Sp.547	Sp.547A5	51.3	-122.75
Sp.547	Sp.547A7	51.3	-122.75
Sp.547	Sp.547A6	51.3	-122.75
Sp.548	Sp.548A5	49.65	-121
Sp.548	Sp.548A7	49.65	-121
Sp.548	Sp.548A8	49.65	-121
Sp.549	Sp.549A7	49.65	-120.15
Sp.549	Sp.549A8	49.65	-120.15
Sp.549	Sp.549A5	49.65	-120.15
Sp.550	Sp.550A7	49.05	-117.76
Sp.550	Sp.550A8	49.05	-117.76
Sp.550	Sp.550A6	49.05	-117.76
Sp.551	Sp.551A3	57.26	-122.83
Sp.551	Sp.551A4	57.26	-122.83
Sp.552	Sp.552A3	55.54	-120.75
Sp.552	Sp.552A4	55.54	-120.75
Sp.553	Sp.553A4	56.38	-120.63
Sp.553	Sp.553A3	56.38	-120.63
Sp.554	Sp.554A4	58.13	-122.76
Sp.554	Sp.554A3	58.13	-122.76
Sp.555	Sp.555A5	52.83	-120.93
Sp.555	Sp.555A8	52.83	-120.93
Sp.555	Sp.555A7	52.83	-120.93
