pop	V1	lat	long
Pi.79	Pi.79A4	52.27	-115.06
Pi.8	Pi.8A8	59.7	-117.98
Pi.8	Pi.8A6	59.7	-117.98
Pi.80	Pi.80A3	54.37	-116.77
Pi.80	Pi.80A2	54.37	-116.77
Pi.81	Pi.81A3	53.58	-117.01
Pi.81	Pi.81A4	53.58	-117.01
Pi.82	Pi.82A3	50.89	-114.7
Pi.82	Pi.82A2	50.89	-114.7
Pi.83	Pi.83A5	51.7	-115.21
Pi.83	Pi.83A3	51.7	-115.21
Pi.84	Pi.84A3	49.39	-114.33
Pi.84	Pi.84A4	49.39	-114.33
Pi.85	Pi.85A4	50.96	-114.9
Pi.85	Pi.85A3	50.96	-114.9
Pi.86	Pi.86A4	57.68	-115.71
Pi.87	Pi.87A5	49.04	-113.53
Pi.87	Pi.87A6	49.04	-113.53
Pi.88	Pi.88A3	49.61	-110.32
Pi.88	Pi.88A2	49.61	-110.32
Pi.89	Pi.89A3	55.65	-119.27
Pi.89	Pi.89A2	55.65	-119.27
Pi.9	Pi.9A3	49.91	-114.08
Pi.9	Pi.9A2	49.91	-114.08
Pi.90	Pi.90A3	53.76	-117.69
Pi.90	Pi.90A4	53.76	-117.69
Pi.91	Pi.91A4	53.76	-117.2
Pi.91	Pi.91A3	53.76	-117.2
Pi.92	Pi.92A4	52.07	-115.98
Pi.93	Pi.93A5	52.04	-115.93
Pi.93	Pi.93A4	52.04	-115.93
Pi.93	Pi.93A6	52.04	-115.93
Pi.94	Pi.94A3	49.64	-110.3
Pi.94	Pi.94A4	49.64	-110.3
Pi.95	Pi.95A3	58.65	-117.47
Pi.95	Pi.95A2	58.65	-117.47
Pi.96	Pi.96A4	51.03	-114.77
Pi.96	Pi.96A6	51.03	-114.77
Pi.96	Pi.96A5	51.03	-114.77
Pi.97	Pi.97A3	51.48	-115.17
Pi.97	Pi.97A2	51.48	-115.17
Pi.98	Pi.98A3	51.46	-114.73
Pi.98	Pi.98A4	51.46	-114.73
Pi.99	Pi.99A3	56.92	-115.78
Pi.99	Pi.99A4	56.92	-115.78
