## METRICS CLASS	picard.analysis.CollectWgsMetricsWithNonZeroCoverage$WgsMetricsWithNonZeroCoverage
CATEGORY	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
NON_ZERO_REGIONS	178644356	3.481823	6.249135	2	1	0	0.011289	0	0.001113	0.010636	0.086025	0.001812	0.110876	1	0.165405	0.085634	0.046511	0.02423	0.012801	0.007418	0.003558	0.002107	0.001184	0.000672	0.000443	0.000332	0.000275	3.481823	3.481823	3.481823	0.592078	4	Pdeltoides_UF0038
WHOLE_GENOME	432523942	6.528064	17.097021	2	2	0	0.008855	0	0.000596	0.012269	0.065192	0.001125	0.088036	0.656243	0.215118	0.115538	0.095193	0.082126	0.071903	0.063309	0.049163	0.037996	0.028889	0.021417	0.015461	0.010842	0.007367	?	?	?	0.454459	3	Pdeltoides_UF0040
NON_ZERO_REGIONS	283840957	9.947627	20.283242	3	2	0	0.008855	0	0.000596	0.012269	0.065192	0.001125	0.088036	1	0.327802	0.176059	0.145057	0.125145	0.109567	0.096473	0.074915	0.057899	0.044022	0.032636	0.02356	0.016521	0.011226	9.947627	9.947627	9.947627	0.690999	5	Pdeltoides_UF0040
WHOLE_GENOME	432523942	2.891824	6.250326	1	1	0	0.012397	0	0.001025	0.008222	0.078016	0.001019	0.100678	0.578746	0.155897	0.063817	0.043835	0.030706	0.020862	0.013504	0.004915	0.001611	0.000576	0.00027	0.000171	0.000128	0.000106	?	?	?	0.392007	2	Pdeltoides_UF0041
NON_ZERO_REGIONS	250321710	4.996702	7.548815	3	2	0	0.012397	0	0.001025	0.008222	0.078016	0.001019	0.100678	1	0.269369	0.110267	0.075741	0.053056	0.036046	0.023332	0.008492	0.002784	0.000995	0.000466	0.000295	0.000221	0.000183	4.996702	4.996702	4.996702	0.676119	5	Pdeltoides_UF0041
WHOLE_GENOME	432523942	5.211894	13.758228	1	1	0	0.010365	0	0.000749	0.00762	0.064268	0.007011	0.090012	0.63244	0.179967	0.107426	0.08673	0.072285	0.06083	0.051218	0.035892	0.024407	0.016024	0.010309	0.006619	0.004349	0.002934	?	?	?	0.426656	2	Pdeltoides_UF0042
NON_ZERO_REGIONS	273545338	8.240933	16.56313	3	2	0	0.010365	0	0.000749	0.00762	0.064268	0.007011	0.090012	1	0.284559	0.16986	0.137136	0.114295	0.096182	0.080985	0.056752	0.038592	0.025337	0.016301	0.010467	0.006877	0.004639	8.240933	8.240933	8.240933	0.673503	5	Pdeltoides_UF0042
WHOLE_GENOME	432523942	1.128128	3.270743	0	0	0	0.010661	0	0.00105	0.005871	0.065122	0.000623	0.083327	0.368122	0.05929	0.025419	0.010874	0.004659	0.002219	0.001209	0.000463	0.000228	0.000138	0.000095	0.000074	0.000061	0.000052	?	?	?	0.218525	1	Pdeltoides_UF0046
NON_ZERO_REGIONS	159221437	3.064552	4.808962	1	0	0	0.010661	0	0.00105	0.005871	0.065122	0.000623	0.083327	1	0.161062	0.06905	0.029539	0.012655	0.006029	0.003284	0.001258	0.000619	0.000374	0.000257	0.000201	0.000165	0.000142	3.064552	3.064552	3.064552	0.592	4	Pdeltoides_UF0046
WHOLE_GENOME	432523942	3.885484	8.051297	2	2	0	0.012051	0	0.000992	0.007827	0.07482	0.006434	0.102124	0.686973	0.229853	0.087665	0.057471	0.038907	0.025392	0.015952	0.006159	0.002894	0.001914	0.001584	0.001406	0.001238	0.001056	?	?	?	0.487753	3	Pdeltoides_UF0047
NON_ZERO_REGIONS	297132116	5.655952	9.184076	3	2	0	0.012051	0	0.000992	0.007827	0.07482	0.006434	0.102124	1	0.334588	0.127611	0.083658	0.056635	0.036962	0.023221	0.008965	0.004213	0.002786	0.002305	0.002046	0.001802	0.001537	5.655952	5.655952	5.655952	0.708933	5	Pdeltoides_UF0047
WHOLE_GENOME	432523942	6.666657	18.465806	1	1	0	0.007779	0	0.000448	0.009321	0.070587	0.001169	0.089304	0.63421	0.194918	0.113749	0.095004	0.082393	0.072514	0.064402	0.051425	0.04106	0.032422	0.025145	0.01903	0.014019	0.010072	?	?	?	0.435981	2	Pdeltoides_UF0048
NON_ZERO_REGIONS	274310952	10.511752	22.298792	3	2	0	0.007779	0	0.000448	0.009321	0.070587	0.001169	0.089304	1	0.30734	0.179355	0.149799	0.129914	0.114337	0.101546	0.081085	0.064741	0.051123	0.039648	0.030005	0.022105	0.015881	10.511752	10.511752	10.511752	0.686115	5	Pdeltoides_UF0048
WHOLE_GENOME	432523942	4.627853	10.461587	2	2	0	0.009487	0	0.000842	0.007541	0.07275	0.001331	0.091951	0.628069	0.255829	0.093986	0.066013	0.052425	0.042523	0.034601	0.022667	0.014275	0.00859	0.004958	0.002793	0.001547	0.000859	?	?	?	0.46296	3	Pdeltoides_UF0049
NON_ZERO_REGIONS	271654941	7.368381	12.4122	4	2	0	0.009487	0	0.000842	0.007541	0.07275	0.001331	0.091951	1	0.407326	0.149643	0.105105	0.08347	0.067704	0.055091	0.03609	0.022729	0.013678	0.007894	0.004446	0.002463	0.001367	3.684191	7.368381	7.368381	0.736016	6	Pdeltoides_UF0049
WHOLE_GENOME	432523942	2.739119	6.57059	1	1	0	0.010099	0	0.000878	0.008691	0.064691	0.000859	0.085218	0.558868	0.121371	0.06748	0.048257	0.034442	0.023983	0.016102	0.006404	0.002217	0.000723	0.000272	0.000137	0.000091	0.00007	?	?	?	0.356788	2	Pdeltoides_UF0051
NON_ZERO_REGIONS	241723650	4.901194	8.164158	2	1	0	0.010099	0	0.000878	0.008691	0.064691	0.000859	0.085218	1	0.217173	0.120743	0.086347	0.061629	0.042913	0.028811	0.011459	0.003966	0.001294	0.000486	0.000245	0.000163	0.000126	4.901194	4.901194	4.901194	0.636727	4	Pdeltoides_UF0051
WHOLE_GENOME	432523942	1.803346	4.43227	0	0	0	0.010465	0	0.000981	0.013094	0.077566	0.00036	0.102466	0.481615	0.086834	0.045986	0.027069	0.015054	0.007922	0.00405	0.001066	0.000337	0.000153	0.000095	0.000071	0.000059	0.000051	?	?	?	0.291719	1	Pdeltoides_UF0052
NON_ZERO_REGIONS	208309871	3.744376	5.789816	2	1	0	0.010465	0	0.000981	0.013094	0.077566	0.00036	0.102466	1	0.180297	0.095483	0.056204	0.031258	0.016448	0.008409	0.002213	0.0007	0.000318	0.000197	0.000148	0.000123	0.000106	3.744376	3.744376	3.744376	0.602541	4	Pdeltoides_UF0052
WHOLE_GENOME	432523942	7.402836	15.241274	4	4	0	0.011849	0	0.000876	0.005915	0.064337	0.005675	0.088652	0.716649	0.431433	0.168873	0.099627	0.079308	0.066466	0.056323	0.04054	0.028495	0.019301	0.012605	0.008051	0.005193	0.003513	?	?	?	0.58478	4	Pdeltoides_UF0053
NON_ZERO_REGIONS	309967697	10.329799	17.143738	6	3	0	0.011849	0	0.000876	0.005915	0.064337	0.005675	0.088652	1	0.602015	0.235643	0.139019	0.110665	0.092745	0.078592	0.056569	0.039762	0.026932	0.017589	0.011234	0.007246	0.004902	3.443266	10.329799	10.329799	0.815568	7	Pdeltoides_UF0053
