## METRICS CLASS	picard.analysis.CollectWgsMetricsWithNonZeroCoverage$WgsMetricsWithNonZeroCoverage
CATEGORY	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
NON_ZERO_REGIONS	105914814	10.948467	11.711339	9	5	0	0.033962	0	0.003067	0.035271	0.005841	0.04319	0.121331	1	0.771019	0.499564	0.259355	0.106403	0.039765	0.017152	0.006788	0.004444	0.003442	0.002901	0.002567	0.002338	0.002163	2.737117	5.474234	10.948467	0.846835	8	Athaliana_SWE_6016
WHOLE_GENOME	119482896	22.813641	16.62606	23	7	0	0.02601	0	0.003353	0.041074	0.001053	0.032912	0.104403	0.921869	0.897708	0.852784	0.760395	0.613541	0.434119	0.261379	0.059959	0.016382	0.009434	0.006733	0.005204	0.004313	0.003753	1.754895	5.70341	?	0.906851	10	Athaliana_SWE_6017
NON_ZERO_REGIONS	110147609	24.747154	15.874656	24	7	0	0.02601	0	0.003353	0.041074	0.001053	0.032912	0.104403	1	0.973792	0.925059	0.82484	0.665541	0.470912	0.283531	0.065041	0.017771	0.010233	0.007303	0.005645	0.004678	0.004071	1.64981	2.249741	3.535308	0.98353	18	Athaliana_SWE_6017
WHOLE_GENOME	119482896	12.532935	13.254945	11	5	0	0.032384	0	0.002919	0.019358	0.016985	0.039277	0.110923	0.914075	0.813253	0.596736	0.346274	0.161696	0.06776	0.029949	0.009917	0.00571	0.004195	0.003469	0.003036	0.002749	0.002535	2.506587	12.532935	?	0.844706	8	Athaliana_SWE_6019
NON_ZERO_REGIONS	109216352	13.711055	13.268603	12	5	0	0.032384	0	0.002919	0.019358	0.016985	0.039277	0.110923	1	0.889701	0.65283	0.378824	0.176895	0.07413	0.032764	0.010849	0.006246	0.004589	0.003795	0.003322	0.003007	0.002774	1.958722	3.427764	4.570352	0.923948	11	Athaliana_SWE_6019
WHOLE_GENOME	119482896	13.658127	13.743951	12	6	0	0.032714	0	0.002713	0.014646	0.020403	0.034319	0.104794	0.914913	0.823048	0.634003	0.402675	0.212377	0.099952	0.047148	0.014605	0.007413	0.005015	0.003936	0.003346	0.002966	0.002708	2.731625	13.658127	?	0.852301	8	Athaliana_SWE_6020
NON_ZERO_REGIONS	109316396	14.928342	13.693117	13	5	0	0.032714	0	0.002713	0.014646	0.020403	0.034319	0.104794	1	0.899592	0.692966	0.440124	0.232128	0.109248	0.051532	0.015963	0.008102	0.005481	0.004302	0.003657	0.003241	0.00296	2.13262	3.732086	4.976114	0.931459	12	Athaliana_SWE_6020
WHOLE_GENOME	119482896	16.690108	15.290216	16	6	0	0.026791	0	0.002978	0.016812	0.003357	0.034879	0.084818	0.923416	0.882997	0.765516	0.55517	0.328354	0.162927	0.074222	0.019593	0.009535	0.006498	0.005102	0.004303	0.003789	0.003447	2.086264	5.563369	?	0.899167	10	Athaliana_SWE_6021
NON_ZERO_REGIONS	110332425	18.07431	15.105024	16	5	0	0.026791	0	0.002978	0.016812	0.003357	0.034879	0.084818	1	0.956228	0.829005	0.601213	0.355586	0.17644	0.080377	0.021218	0.010325	0.007037	0.005525	0.00466	0.004103	0.003733	1.807431	2.582044	3.614862	0.973598	16	Athaliana_SWE_6021
WHOLE_GENOME	119482896	23.853597	17.684567	24	6	0	0.027589	0	0.002301	0.030642	0.002354	0.063323	0.126209	0.928266	0.906376	0.875546	0.80944	0.675403	0.472025	0.259119	0.048381	0.02021	0.013766	0.010058	0.007872	0.006451	0.005471	1.59024	3.9756	?	0.916279	11	Athaliana_SWE_6022
