Orthogroup,At Genes,Tau Min,Tau Z,At Node Betweenness Max,At Node Betweenness Z,At Node Strength Max,At Node Strength Z,At Node Degree Max,At Node Degree Z,At Node Closeness Max,At Node Closeness Z
OG0009827,MRPL11,0.450239077,1.239747025,29900.23333,0.343531766,2707.9199,0.746908368,831,0.767155881,9.88E-06,0.335157785
OG0009828,DRL1,0.944283378,-1.268294381,129587.3333,3.488795961,800.2906,-0.722218556,269,-0.689066891,9.51E-06,-0.327769592
OG0009830,AT4G33440,0.713279713,-0.27673544,44672.56667,1.28113697,714.1968,-0.811161088,254,-0.734905753,9.58E-06,-0.213538034
OG0009831,EIF3K,0.602548119,0.285960181,20190.48333,-0.352253405,3956.9579,1.736450379,1078,1.625407817,9.83E-06,0.212293932
OG0009833,ATH1,0.671334776,-0.078847858,22479,-0.180983665,756.2991,-0.766747862,260,-0.717884146,9.09E-06,-0.774932702
OG0009835,AT4G32050,0.596430976,0.314716068,21711.56667,-0.239118018,2441.9422,0.548345583,785,0.626399577,9.95E-06,0.516462683
OG0009837,DCAF1,0.664413038,-0.048046671,18669.13333,-0.45993844,4014.4965,1.795729152,1089,1.659374896,9.97E-06,0.581155923
OG0009838,PDE327,0.611239951,0.239454145,13201,-0.8350536,2498.3162,0.588009437,701,0.396610733,9.60E-06,-0.191812124
OG0009839,AT4G29750,0.555886736,0.55079966,25822.63333,0.061153121,1998.4547,0.22038656,623,0.200491052,9.86E-06,0.268951499
OG0009840,CAK1AT,0.365075121,2.015400023,30272,0.376623827,2354.6266,0.480996248,778,0.602893816,1.01E-05,1.106387226
OG0009841,AT4G28200,0.66872779,-0.06699399,13309.06667,-0.826466447,4186.1392,1.9835401,1069,1.563632363,9.62E-06,-0.157233725
OG0009842,AT4G28030,0.640905032,0.070845384,23336.33333,-0.121617026,1463.0595,-0.18407529,472,-0.147390413,9.35E-06,-0.522029653
OG0009843,RRP41L,0.745055465,-0.416824227,8841.066667,-1.148289427,2865.7697,0.855480313,828,0.759425184,9.37E-06,-0.499512009
OG0009844,AT4G27340,0.592207792,0.33747044,16440.16667,-0.605813619,2979.7683,0.934918738,828,0.759425184,9.47E-06,-0.374992316
OG0009845,AT4G26810,0.668871252,-0.067586446,31253.96667,0.433063743,1280.0821,-0.325203994,424,-0.265485324,9.61E-06,-0.180983665
OG0009847,VIP1,0.621241356,0.183532297,30262.83333,0.374992316,2606.8575,0.666874949,828,0.759425184,1.01E-05,1.183077932
OG0009848,PDE318,0.607088198,0.258966758,15789,-0.644258141,2435.5162,0.542700188,725,0.462982374,9.53E-06,-0.290769571
OG0009849,FTSH12,0.586972717,0.370511968,25175.66667,0.01398698,3513.2745,1.345220308,920,1.025878085,9.66E-06,-0.087680015
OG0009850,AT1G36980,0.509064383,0.829969849,46178.2,1.354293084,2592.1671,0.65627868,805,0.684063636,1.01E-05,1.049844912
OG0009851,NPQ4,0.692025288,-0.175722787,2439.5,-1.876037216,1791.1056,0.071208972,420,-0.274630418,8.41E-06,-1.234853566
OG0009852,AT1G43860,0.509553325,0.825806188,27218.21667,0.155386972,3774.9566,1.568815538,1104,1.722879945,1.00E-05,0.773291593
OG0009853,AT1G34110,0.772649677,-0.546676688,42612,1.154188014,630.9752,-0.913480641,225,-0.828178989,9.44E-06,-0.419743985
OG0009854,STT3B,0.583680341,0.389254883,30648.56667,0.39595295,3225.2849,1.112576531,970,1.173339037,1.02E-05,1.556445744
OG0009856,AT1G33330,0.497484699,0.906227463,25819.46667,0.060543885,1869.1505,0.12376149,598,0.150157361,9.80E-06,0.144010119
OG0009858,AT4G23620,0.680975408,-0.119839482,9886.333333,-1.059922168,3078.365,1.006515042,865,0.863839828,9.53E-06,-0.295213029
OG0009859,IQD22,0.803575437,-0.678669949,21634.66667,-0.246320354,460.6531,-1.151233714,167,-1.037786983,9.38E-06,-0.484754421
